material_id,formula,space_group_number,hybrid_probability,energy_above_hull,has_inversion
mp-757869,mp-757869,4,0.000151204715485,0.086454684642844,False
mp-755228,mp-755228,1,0.0001605163336715,0.086465210601835,False
mp-865685,mp-865685,194,0.000151204715485,0.086474916249997,True
mp-764917,mp-764917,1,0.000151204715485,0.086477075937496,False
mp-1291341,mp-1291341,2,0.000151204715485,0.086486668,False
mp-776394,mp-776394,61,0.000151204715485,0.086487757625,True
mp-1177174,mp-1177174,55,0.000151204715485,0.086494593548389,True
mp-755939,mp-755939,5,0.000151204715485,0.086507889210524,False
mp-974571,mp-974571,194,0.000151204715485,0.086509186293104,True
mp-1357400,mp-1357400,47,0.000151204715485,0.086509297635141,True
mp-761193,mp-761193,9,0.000151204715485,0.086520678250018,False
mp-1198400,mp-1198400,14,0.000151204715485,0.086524890807861,True
mp-759976,mp-759976,14,0.000151204715485,0.086531237583337,True
mp-849490,mp-849490,1,0.0001698630825439,0.086556830454545,False
mp-849478,mp-849478,1,0.0002329403487126,0.086621662453693,False
mp-1213194,mp-1213194,14,0.000151204715485,0.086540139374999,True
mp-777833,mp-777833,14,0.0002596364556162,0.086649327740733,True
mp-771900,mp-771900,88,0.000151204715485,0.086543861064813,False
mp-761162,mp-761162,1,0.000151204715485,0.086557223749998,False
mp-2714808,mp-2714808,1,0.000151204715485,0.086557349569977,False
mp-759643,mp-759643,2,0.000151204715485,0.086558839563478,True
mp-850281,mp-850281,1,0.000151204715485,0.086570186166667,False
mp-25435,mp-25435,62,0.000151204715485,0.08659406301189,True
mp-686705,mp-686705,201,0.000151204715485,0.086608360874996,False
mp-763371,mp-763371,1,0.000151204715485,0.086611344605269,False
mp-766129,mp-766129,148,0.000151204715485,0.086615826874996,True
mp-757415,mp-757415,14,0.0001605514643574,0.086633329166662,True
mp-776330,mp-776330,70,0.000151204715485,0.086624872623457,False
mp-694547,mp-694547,146,0.000151204715485,0.086625623055557,False
mp-759785,mp-759785,1,0.000151204715485,0.086628366999995,False
mp-1291001,mp-1291001,1,0.000151204715485,0.086654903125002,False
mp-761191,mp-761191,33,0.000151204715485,0.086655540714284,False
mp-1044380,mp-1044380,14,0.000151204715485,0.086663852499992,True
mp-1211562,mp-1211562,14,0.0001605163336715,0.086673317895826,True
mp-2218314,mp-2218314,160,0.000151204715485,0.086666277692299,False
mp-759551,mp-759551,6,0.0001715338776981,0.086698062222222,False
mp-637431,mp-637431,74,0.000151204715485,0.086681503181806,False
mp-1176787,mp-1176787,9,0.000151204715485,0.08668163310606,False
mp-1287634,mp-1287634,1,0.000151204715485,0.086682556696418,False
mp-753492,mp-753492,181,0.000151204715485,0.086686588779758,False
mp-764374,mp-764374,2,0.000151204715485,0.086688905833334,True
mp-1042895,mp-1042895,186,0.000151204715485,0.086690133846152,False
mp-757169,mp-757169,5,0.000151204715485,0.086693598560604,False
mp-1290913,mp-1290913,1,0.000151204715485,0.086694852604166,False
mp-770274,mp-770274,15,0.000151204715485,0.086698857833333,True
mp-626851,mp-626851,1,0.0001605163336715,0.086731484596773,False
mp-766024,mp-766024,198,0.000151204715485,0.086723150089282,False
mp-532212,mp-532212,160,0.000151204715485,0.0867337002857,False
mp-766698,mp-766698,14,0.000151204715485,0.086747005649043,True
mp-720863,mp-720863,14,0.000151204715485,0.086747577360223,True
mp-2715226,mp-2715226,9,0.000151204715485,0.086755567994445,False
mp-1344248,mp-1344248,1,0.000151204715485,0.086756617202389,False
mp-851033,mp-851033,1,0.000151204715485,0.086770992499999,False
mp-757194,mp-757194,1,0.000151204715485,0.086774324117643,False
mp-753207,mp-753207,9,0.000151204715485,0.086796021071422,False
mp-1204620,mp-1204620,52,0.000151204715485,0.086811747074281,True
mp-781682,mp-781682,2,0.000151204715485,0.086813679414065,True
mp-780165,mp-780165,1,0.0001844421326127,0.086850091342582,False
mp-754074,mp-754074,20,0.000151204715485,0.086819375909088,False
mp-755174,mp-755174,1,0.0001605163336715,0.08682896620369,False
mp-2231345,mp-2231345,5,0.000151204715485,0.086831125789475,False
mp-2230394,mp-2230394,1,0.000151204715485,0.086835391578945,False
mp-770931,mp-770931,74,0.000151204715485,0.086845138333332,True
mp-907952,mp-907952,63,0.000151204715485,0.086853952179486,True
mp-752994,mp-752994,36,0.000151204715485,0.086855719047621,False
mp-1232088,mp-1232088,122,0.000151204715485,0.086856223571428,False
mp-1041621,mp-1041621,7,0.000151204715485,0.086857215357142,False
mp-1205442,mp-1205442,15,0.000151204715485,0.086858852899998,True
mp-735543,mp-735543,19,0.000151204715485,0.086859382525505,False
mp-1184280,mp-1184280,194,0.000151204715485,0.086891301874997,True
mp-1178318,mp-1178318,1,0.000151204715485,0.086896729642855,False
mp-759441,mp-759441,14,0.000151204715485,0.086913104333315,True
mp-764566,mp-764566,1,0.000151204715485,0.08691769865852,False
mp-1278885,mp-1278885,4,0.000151204715485,0.086922955035714,False
mp-867949,mp-867949,14,0.000151204715485,0.086935247615738,True
mp-861059,mp-861059,14,0.000151204715485,0.086935391428565,True
mp-1371368,mp-1371368,55,0.000151204715485,0.086940301388881,True
mp-778157,mp-778157,1,0.0001937496742984,0.086983491444439,False
mp-778104,mp-778104,60,0.000151204715485,0.086942981564821,True
mp-25239,mp-25239,2,0.000151204715485,0.086949183981486,False
mp-770448,mp-770448,62,0.000151204715485,0.086957258214281,True
mp-1177738,mp-1177738,1,0.000151204715485,0.08696604247283,False
mp-1223268,mp-1223268,2,0.000151204715485,0.086968091940001,True
mp-759072,mp-759072,1,0.0002176754732396,0.087035740787027,False
