rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
44,mp-780699,V4 O1 F11,1,triclinic,0.969148814678192,0.9849188038109391,0.0,0.9849188038109391,0.9849188038109391,-3.1196820725,0.013820138333333,0.9634,4,V,0.9710986654776061,False,hybrid=0.985; hull=0.013820138333333; magnetic=V
45,mp-1227525,Ca4 La8 Fe12 O36,62,orthorhombic,0.9973280429840088,0.9779419547062954,0.0,0.9779419547062954,0.9779419547062954,-2.637516138166667,0.007274074666669,0.0,12,Fe,0.9706678800396265,False,hybrid=0.978; hull=0.007274074666669; magnetic=Fe
46,mp-18395,Ca12 Mn8 O28,63,orthorhombic,0.9970691800117492,0.9959056169569743,0.0,0.9959056169569743,0.9959056169569743,-2.6377072250718383,0.026223513611109,0.227399999999999,8,Mn,0.9696821033458654,False,hybrid=0.996; hull=0.026223513611109; magnetic=Mn
47,mp-1227180,Ca2 Lu2 Mn4 O12,26,orthorhombic,0.9957979321479796,0.9960149378206107,0.0,0.9960149378206107,0.9960149378206107,-2.797704238752873,0.026526318402771,0.0,4,Mn,0.9694886194178397,False,hybrid=0.996; hull=0.026526318402771; magnetic=Mn
48,mp-756285,V8 O4 F20,5,monoclinic,0.0029822010546922,0.9720767594186052,0.0,0.9720767594186052,0.9720767594186052,-3.043407808333334,0.003322994583333,1.5529000000000002,8,V,0.9687537648352722,False,hybrid=0.972; hull=0.003322994583333; magnetic=V
49,mp-1223087,Lu8 Sc4 V12 O36,6,monoclinic,1.0,0.9898293019849559,0.0,0.9898293019849559,0.9898293019849559,-3.279165404722222,0.024158405666666,1.607699999999999,16,Sc;V,0.9656708963182898,False,hybrid=0.990; hull=0.024158405666666; magnetic=Sc;V
50,mp-1094099,Sr10 Fe10 O27,25,orthorhombic,0.9996644258499146,0.9952011128417113,0.0,0.9952011128417113,0.9952011128417113,-2.292196078404256,0.030154163244707,0.0,10,Fe,0.9650469495970043,False,hybrid=0.995; hull=0.030154163244707; magnetic=Fe
51,mp-690536,Sr8 Fe8 O22,58,orthorhombic,0.9930412769317628,0.9869106465264036,0.0,0.9869106465264036,0.9869106465264036,-2.282519960789473,0.023088464736857,0.0,8,Fe,0.9638221817895466,False,hybrid=0.987; hull=0.023088464736857; magnetic=Fe
52,mp-766789,Mn6 F18,150,trigonal,0.9999592304229736,0.9953832637199399,0.0,0.9953832637199399,0.9953832637199399,-2.733203464482759,0.031627593749999,0.8748999999999991,6,Mn,0.9637556699699409,False,hybrid=0.995; hull=0.031627593749999; magnetic=Mn
53,mp-754878,Cu6 O2 F10,7,monoclinic,0.9948230981826782,0.9929251021593313,0.0,0.9929251021593313,0.9929251021593313,-1.597818872777778,0.029962021423611,0.0,6,Cu,0.9629630807357202,False,hybrid=0.993; hull=0.029962021423611; magnetic=Cu
54,mp-1198989,Mn10 Si4 O20,14,monoclinic,0.9999992847442628,0.9978147119690122,0.0,0.9978147119690122,0.9978147119690122,-2.458598246156188,0.035446381797379,0.9584,10,Mn,0.9623683301716331,False,hybrid=0.998; hull=0.035446381797379; magnetic=Mn
55,mp-1317719,Ca2 Y2 Mn4 O12,7,monoclinic,0.1388448625802993,0.9859580593236162,0.0,0.9859580593236162,0.9859580593236162,-2.758249659086207,0.023841749097213,0.427999999999999,4,Mn,0.9621163102264032,False,hybrid=0.986; hull=0.023841749097213; magnetic=Mn
56,mp-562027,Ba6 Co6 Si6 O24,173,hexagonal,1.0,0.9784049901921685,0.0,0.9784049901921685,0.9784049901921685,-2.787397283333333,0.016637923273815,3.1021,6,Co,0.9617670669183536,False,hybrid=0.978; hull=0.016637923273815; magnetic=Co
57,mp-1265277,Ca24 Mn16 Si24 O96,142,tetragonal,0.0060741589404642,0.9870050143989211,0.0,0.9870050143989211,0.9870050143989211,-3.068277864418105,0.025516219097221,1.106799999999999,16,Mn,0.9614887953017001,False,hybrid=0.987; hull=0.025516219097221; magnetic=Mn
58,mp-1214892,Ba4 Cr8 Ru16 O48,75,tetragonal,0.9999887943267822,0.9981406081767684,0.0,0.9981406081767684,0.9981406081767684,-1.852153380921051,0.037460897631582,0.0,8,Cr,0.9606797105451864,False,hybrid=0.998; hull=0.037460897631582; magnetic=Cr
59,mp-18952,Ca16 Mn8 O28,64,orthorhombic,0.9999996423721312,0.9978258727196995,0.0,0.9978258727196995,0.9978258727196995,-2.806712146604773,0.037243729807692,0.0,8,Mn,0.9605821429120075,False,hybrid=0.998; hull=0.037243729807692; magnetic=Mn
