feature,importance
num__emb_443,0.00012862749483373898
num__emb_152,0.00012855885881331655
num__emb_262,0.00012237073310708853
num__emb_506,0.00012097409725173387
num__emb_040,0.0001177260489854552
num__emb_082,0.00011711590752334217
num__emb_183,0.00011689806800289431
num__emb_137,0.00011621798244320584
num__emb_459,0.0001138803536831759
num__emb_061,0.00011337006186684741
num__emb_505,0.00011195247800197378
num__emb_507,0.00011130014822706439
num__emb_337,0.00011124125218205852
num__emb_032,0.00010859927709318667
num__n_rotation_2,0.00010851703006184696
num__emb_438,0.00010845383033121875
num__emb_485,0.00010835212122750982
num__emb_398,0.00010832256390559739
num__emb_263,0.00010741390470228074
num__emb_069,0.00010617803975252464
num__emb_290,0.00010395207177722275
num__emb_497,0.00010241583995481154
num__emb_071,0.00010025269347382643
num__emb_312,9.982538087780368e-05
num__emb_309,9.70506031937932e-05
num__emb_207,9.635595656428135e-05
num__emb_066,9.563248456426417e-05
num__emb_115,9.192941490225214e-05
cat__point_group_6mm,9.187540410756123e-05
num__emb_300,8.943561943656511e-05
num__emb_145,8.87913151115902e-05
num__emb_079,8.721032257817445e-05
num__emb_303,8.612806506240635e-05
num__emb_504,8.462056877744273e-05
cat__magnetic_elements_V,8.447375324819734e-05
num__rare_earth_4f_fraction,8.311062814564994e-05
num__emb_393,7.873218072261621e-05
num__emb_372,7.808133666846794e-05
num__emb_378,7.734074191741368e-05
num__n_rotation_4,7.704209051722975e-05
num__emb_469,7.487724106439849e-05
num__emb_354,7.252948328835824e-05
cat__point_group_1,7.220087719260506e-05
num__emb_205,7.218914599421996e-05
num__emb_188,7.187201589825086e-05
num__formation_energy_per_atom,7.124829186123682e-05
num__emb_172,6.991842250049132e-05
num__emb_060,6.761906316958385e-05
num__emb_301,6.738882348066299e-05
num__emb_306,6.657686215304929e-05
num__emb_374,6.542827624256727e-05
num__emb_168,6.469517377729381e-05
num__emb_293,6.411468107462555e-05
num__emb_339,6.330922950917296e-05
num__emb_139,6.0738149435021005e-05
num__emb_134,5.963413222986623e-05
cat__point_group_2,5.937868924157041e-05
num__emb_046,5.9197964536432314e-05
num__emb_399,5.904951602695756e-05
num__emb_165,5.7325674510976537e-05
num__emb_273,5.6197763983953246e-05
num__emb_028,5.57429778220239e-05
num__emb_257,5.5261219933099474e-05
num__emb_195,5.437382869209792e-05
num__emb_161,5.437017481092388e-05
num__emb_030,5.423382234862492e-05
