material_id,label,source_split,crystal_system,magnetic_elements,pc1,pc2
mp-763299,unknown,unconfirmed_candidate,orthorhombic,,15.873306799584064,12.569434282418317
mp-1227659,unknown,unconfirmed_candidate,orthorhombic,Mn,6.473822907815187,-4.462792765256111
mp-1079944,unknown,unconfirmed_candidate,tetragonal,,8.401058430117304,-1.4959840174458439
mp-1103635,unknown,unconfirmed_candidate,tetragonal,,15.888967399795401,2.831718753614762
mp-555099,unknown,unconfirmed_candidate,orthorhombic,,-10.192080360404784,-1.2049874119786637
mp-704220,unknown,unconfirmed_candidate,trigonal,,-12.744226066541465,-1.5371102889269181
mp-1184856,0,label0,cubic,,5.117015262950915,1.5260323343800408
mp-19146,unknown,unconfirmed_candidate,monoclinic,,-9.285112825895418,-6.299923660084151
mp-1326076,unknown,unconfirmed_candidate,cubic,Mn,6.5800155813015735,-2.7687677005035383
mp-1184187,unknown,unconfirmed_candidate,tetragonal,,-2.845815607002944,-2.450036907153077
mp-1178774,unknown,unconfirmed_candidate,triclinic,,-3.3723060470378705,0.2786247663447128
mp-532767,unknown,unconfirmed_candidate,cubic,,12.308360003764154,0.7204803901578956
mp-2230567,unknown,unconfirmed_candidate,tetragonal,,-12.733838460881522,-1.085967253970427
mp-1234918,unknown,unconfirmed_candidate,triclinic,,-13.632731747184252,-5.136012447300079
mp-1403,unknown,unconfirmed_candidate,orthorhombic,,1.2874346126334864,-6.22268801950915
mp-1221167,0,label0,monoclinic,,-0.5956290344624833,-4.121821131198004
mp-16267,unknown,unconfirmed_candidate,cubic,,3.3852785386476203,-6.462933622641698
mp-2210703,0,label0,orthorhombic,,7.517618722843823,0.4175296082882909
mp-1022625,unknown,unconfirmed_candidate,orthorhombic,,9.771793938519409,-5.043048792719544
mp-1094154,unknown,unconfirmed_candidate,monoclinic,,3.4801446490049948,2.333986308960718
mp-757582,unknown,unconfirmed_candidate,orthorhombic,,-5.189717576568469,-1.7601187272908572
mp-1196610,unknown,unconfirmed_candidate,orthorhombic,,1.3947877098369759,1.4809254030007786
mp-756771,0,label0,triclinic,,2.8667789818947433,4.627181234508555
mp-1045354,unknown,unconfirmed_candidate,tetragonal,,-2.0884564191857535,-2.069458072229038
mp-1208912,unknown,unconfirmed_candidate,monoclinic,,-11.906197630506615,-6.6229893162829665
mp-1042106,unknown,unconfirmed_candidate,tetragonal,,-4.797804813831057,0.8416723938164097
mp-865787,0,label0,cubic,,4.253266898209555,0.07228081843294731
mp-1216453,unknown,unconfirmed_candidate,cubic,,9.620905573212825,1.224235559188152
mp-555471,unknown,unconfirmed_candidate,monoclinic,,-15.307843492678913,-2.309735848572087
mp-24200,unknown,unconfirmed_candidate,orthorhombic,,-7.594782766163732,-1.8576192380125196
mp-1103964,unknown,unconfirmed_candidate,monoclinic,,8.720919198772435,3.374317449643673
mp-1228523,unknown,unconfirmed_candidate,orthorhombic,,-5.7009335736802775,-8.521419337605353
mp-1096149,0,label0,orthorhombic,,-4.610750783349474,-0.12652397378153069
mp-1023302,unknown,unconfirmed_candidate,orthorhombic,,-5.793682967781681,0.015411119600372558
mp-766393,0,label0,monoclinic,,-4.792144756564614,-5.371544773285374
mp-776732,0,label0,trigonal,,4.128472916061128,6.829552935786932
mp-1234725,0,label0,monoclinic,,-4.5253260708719765,-7.306108613385868
mp-616555,0,label0,monoclinic,,5.923997022905494,5.794499992542821
mp-1096251,0,label0,orthorhombic,,8.280183183068335,-3.3593177599128072
mp-1212640,unknown,unconfirmed_candidate,hexagonal,,-0.7226014890275358,-6.322368965172323
mp-776601,unknown,unconfirmed_candidate,monoclinic,,-7.65349851173443,3.406628275582751
mp-1201338,unknown,unconfirmed_candidate,monoclinic,,-16.105060020416822,-2.8690350222313636
