material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-1218594,mp-1218594,10027,25134,-15107,3.2085856132465294e-27,0.000151204715485,0.000151204715485,12,monoclinic,,False
mp-1520703,mp-1520703,25406,40512,-15106,0.0,0.000151204715485,0.000151204715485,16,orthorhombic,,False
mp-19314,mp-19314,2545,17650,-15105,1.0381988221068584e-22,0.000151204715485,0.000151204715485,218,cubic,,False
mp-1104183,mp-1104183,5873,20975,-15102,1.4447362306855444e-24,0.000151204715485,0.000151204715485,12,monoclinic,,False
mp-765500,mp-765500,25415,40513,-15098,0.0,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1209384,mp-1209384,25417,40514,-15097,0.0,0.000151204715485,0.000151204715485,220,cubic,,False
mp-864979,mp-864979,6784,21877,-15093,3.875201789921896e-25,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-752646,mp-752646,16297,31389,-15092,2.9704504207673164e-32,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1225760,mp-1225760,2856,17948,-15092,7.252719005019771e-23,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1044788,mp-1044788,12543,27634,-15091,5.810657031368891e-29,0.000151204715485,0.000151204715485,145,trigonal,,False
mp-1516618,mp-1516618,25425,40515,-15090,0.0,0.000151204715485,0.000151204715485,48,orthorhombic,,False
mp-438,mp-438,808,15895,-15087,9.082838944680048e-22,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1003771,mp-1003771,17971,33058,-15087,4.217575007591999e-34,0.000151204715485,0.000151204715485,9,monoclinic,,False
mp-759352,mp-759352,18293,33380,-15087,1.7269058938235598e-34,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1207527,mp-1207527,10333,25418,-15085,2.0295359235245305e-27,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1279995,mp-1279995,22533,37617,-15084,6.8831780567635e-42,0.000151204715485,0.000151204715485,26,orthorhombic,,False
mp-22291,mp-22291,4977,20052,-15075,5.16092762376488e-24,0.000151204715485,0.000151204715485,63,orthorhombic,,False
mp-1201534,mp-1201534,2675,17750,-15075,9.292625584588649e-23,0.000151204715485,0.000151204715485,223,cubic,,False
mp-754882,mp-754882,18005,33078,-15073,3.985449770793136e-34,0.000151204715485,0.000151204715485,186,hexagonal,,False
mp-1016111,mp-1016111,21883,36956,-15073,2.5966761193171023e-40,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1173857,mp-1173857,11083,26153,-15070,6.599553807035117e-28,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1203872,mp-1203872,10943,26011,-15068,8.0052549252218745e-28,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1194546,mp-1194546,7498,22562,-15064,1.4361196755811385e-25,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1228781,mp-1228781,18052,33114,-15062,3.6022027965815686e-34,0.000151204715485,0.000151204715485,8,monoclinic,,False
mp-2215949,mp-2215949,25456,40516,-15060,0.0,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-19478,mp-19478,4396,19453,-15057,1.0484145234978165e-23,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-10750,mp-10750,15196,30253,-15057,3.999604952542883e-31,0.000151204715485,0.000151204715485,65,orthorhombic,,False
mp-753779,mp-753779,11515,26570,-15055,3.274027701643587e-28,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-759135,mp-759135,21074,36129,-15055,1.3599567965109206e-38,0.000151204715485,0.000151204715485,36,orthorhombic,,False
mp-555319,mp-555319,8851,23903,-15052,2.0902823347166294e-26,0.000151204715485,0.000151204715485,57,orthorhombic,,False
mp-1176722,mp-1176722,16025,31075,-15050,6.121064746454937e-32,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-753476,mp-753476,25468,40517,-15049,0.0,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1200241,mp-1200241,11042,26090,-15048,7.2691529448974075e-28,0.000151204715485,0.000151204715485,167,trigonal,,False
mp-1191079,mp-1191079,3028,18074,-15046,6.244654480165738e-23,0.000151204715485,0.000151204715485,12,monoclinic,,False
